subjnumb;mvliking;kidtrans;miniboxy;lthrbetr;secbiggr;safeimpt;buyhghnd;pricqual;prmsound;perfimpt;tkvacatn;noparkrm;homlrgst;envrminr;needbetw;suvcmpct;next2str;carefmny;shdcarpl;imprtapp;lk4whldr;kidsbulk;wntguzlr;nordtrps;stylclth;strngwrn;passnimp;twoincom;nohummer;aftrschl;accesfun;age;income;miles;numkids;female;educ;recycle
351;9;7;6;5;6;6;7;6;8;4;5;7;6;5;6;6;3;3;5;7;6;6;4;4;7;6;4;5;7;6;6;46;104;27;3;1;4;3
352;4;6;4;2;6;2;4;3;4;8;4;3;5;6;4;5;4;6;5;3;2;4;6;6;3;2;6;2;5;6;3;26;25;17;0;0;1;3
353;1;4;1;5;3;4;6;7;5;6;4;1;8;3;2;3;1;4;7;6;4;3;4;6;7;5;6;6;2;4;6;37;77;13;0;0;3;3
354;1;3;4;3;6;6;4;4;3;5;2;4;5;7;6;4;6;7;4;4;4;4;7;6;4;5;7;5;9;3;3;27;27;13;0;1;2;4
355;4;7;3;8;2;5;5;5;9;6;6;1;8;5;2;3;7;5;6;5;6;6;4;4;5;6;4;3;4;7;6;54;92;22;2;1;3;3
356;5;7;7;4;8;5;5;4;4;6;4;5;5;6;6;8;3;5;6;5;5;6;6;3;5;3;6;5;7;5;5;33;36;26;3;1;2;3
357;9;6;7;4;8;1;6;4;5;9;6;5;5;4;6;7;3;4;5;5;2;5;3;4;6;2;4;6;7;5;6;36;80;23;3;0;2;4
358;8;6;5;5;6;7;6;4;6;3;5;6;5;5;6;6;4;5;7;6;7;5;5;3;6;6;5;5;6;6;5;46;61;25;4;1;3;2
359;6;5;5;5;4;8;6;6;6;2;5;3;7;7;3;4;5;4;1;4;8;5;4;6;5;7;4;6;3;6;6;47;78;22;1;1;4;1
360;5;4;6;4;6;8;6;4;4;3;5;6;5;4;6;6;2;4;5;4;7;5;4;4;7;7;5;5;7;3;5;44;44;25;2;1;3;3
361;9;3;9;5;6;5;8;7;6;4;9;7;4;4;7;6;4;4;6;5;6;3;4;6;8;6;5;6;5;4;6;45;125;20;1;0;4;3
362;8;6;5;5;7;4;6;4;6;5;5;4;5;4;5;6;3;4;7;6;7;6;4;4;7;5;5;4;6;5;5;42;57;22;2;1;3;4
363;6;5;5;2;5;6;5;4;2;2;2;4;5;7;6;4;4;7;3;3;6;4;7;5;4;6;7;4;4;4;2;37;24;11;1;0;2;2
364;5;4;6;5;7;2;7;7;5;7;6;7;4;5;7;7;3;3;7;5;4;4;4;6;7;4;5;5;6;3;6;44;70;18;1;0;3;4
365;3;7;5;3;6;5;4;4;4;4;4;6;4;6;6;6;4;6;6;5;7;6;5;3;6;6;6;4;5;5;4;32;31;22;3;1;3;3
366;4;6;4;2;6;6;4;4;4;3;3;5;5;7;6;4;5;2;3;3;7;4;6;4;5;5;6;3;5;9;4;32;38;19;1;1;3;2
367;1;4;4;2;4;4;2;3;3;4;2;6;2;7;5;4;4;7;5;3;5;4;6;6;3;5;8;4;5;4;3;29;15;14;1;1;1;4
368;4;4;7;4;6;4;7;5;5;6;5;6;5;4;7;7;3;4;6;4;5;3;5;5;6;5;6;6;7;4;4;37;49;20;1;0;3;4
369;4;3;6;6;5;6;8;7;6;4;5;5;6;4;8;5;5;4;7;6;5;3;2;7;1;7;4;6;4;2;6;43;66;17;0;0;4;5
370;3;5;4;3;3;5;4;4;3;5;3;4;5;7;3;4;4;7;4;4;6;5;7;6;4;6;7;2;5;4;3;34;35;14;1;0;2;3
371;9;5;3;6;5;6;6;6;5;4;4;4;1;7;3;3;7;5;4;6;8;5;5;5;5;7;6;7;3;5;5;50;73;13;1;1;4;1
372;1;4;3;5;4;5;6;6;5;5;4;3;8;6;4;4;6;5;6;4;4;4;5;7;6;4;6;4;2;4;5;48;73;14;0;0;3;2
373;9;6;7;9;8;4;4;3;5;4;5;7;4;4;6;8;2;4;7;5;4;5;3;4;8;4;5;5;8;4;5;42;49;27;3;0;3;4
374;5;6;5;5;7;5;7;6;6;6;5;5;5;5;6;6;4;5;5;5;5;6;5;3;6;6;5;7;5;6;5;47;70;23;2;1;2;2
375;4;5;6;3;6;7;5;4;4;3;3;6;4;7;7;7;4;7;4;4;7;5;7;5;5;5;6;4;5;5;4;38;27;18;1;1;3;2
376;6;5;4;9;4;3;7;7;7;6;6;3;7;7;5;3;6;4;3;4;5;5;4;5;6;6;5;8;5;5;6;55;107;18;1;0;3;1
377;5;4;8;4;6;7;7;5;5;2;4;8;4;8;6;7;3;5;4;4;7;4;7;5;6;7;7;8;8;3;2;44;41;20;2;1;3;1
378;3;5;4;3;5;7;4;3;2;3;2;3;4;8;5;4;5;7;4;4;8;4;6;5;3;7;7;2;5;4;3;28;40;19;0;1;2;3
379;3;5;4;4;3;4;5;6;6;6;5;3;7;5;4;5;6;4;8;5;5;4;4;6;6;6;4;5;5;5;5;36;50;16;1;1;3;4
380;9;5;3;5;4;5;5;5;5;5;4;2;7;5;3;4;7;5;5;6;5;4;5;5;5;6;5;5;5;6;4;39;90;18;1;0;3;4
381;9;5;7;6;8;4;7;6;6;7;7;6;5;4;7;7;3;3;6;5;5;4;3;5;8;5;4;6;8;5;7;50;125;22;2;0;4;3
382;4;5;2;9;4;3;6;7;5;7;5;3;7;4;4;3;6;4;6;5;5;5;3;6;6;6;5;4;2;4;6;53;139;16;1;0;3;3
383;7;6;3;4;3;5;1;5;6;6;6;2;7;6;4;4;6;5;6;4;6;5;4;4;5;3;5;6;3;6;5;36;41;20;2;0;2;3
384;5;4;5;6;6;6;7;1;6;4;6;5;6;4;5;6;3;4;7;5;5;4;4;6;7;5;4;4;6;4;6;53;84;21;0;1;4;4
385;1;5;4;4;4;8;5;5;6;2;6;4;6;4;4;4;4;6;7;6;8;5;4;4;7;7;6;5;5;5;6;43;98;25;2;1;4;4
386;6;9;4;2;6;4;4;3;2;5;3;5;5;7;6;4;3;7;4;3;4;4;7;6;4;6;7;2;4;3;3;31;27;17;1;1;1;2
387;3;7;3;5;2;7;6;6;5;3;6;4;8;5;4;4;8;5;6;7;7;7;5;4;5;7;5;6;2;7;6;51;143;22;3;1;4;2
388;4;4;5;2;4;5;4;5;2;5;2;4;4;8;5;4;4;8;1;1;4;4;8;7;2;5;8;4;7;3;2;27;22;9;0;1;1;2
389;8;2;4;6;3;5;6;7;5;5;5;3;8;4;5;4;5;4;8;6;6;2;4;6;5;7;6;6;5;2;5;47;117;15;1;0;4;4
390;1;3;5;3;7;6;5;5;2;5;2;5;5;7;5;5;3;7;3;2;5;2;7;7;4;3;8;4;6;3;2;30;24;14;0;0;2;3
391;4;5;4;5;3;6;5;5;5;6;4;4;8;5;4;3;7;5;7;6;5;5;4;5;6;6;5;6;3;4;5;39;80;15;2;0;3;4
392;4;8;3;3;6;4;3;3;3;5;3;4;5;8;5;5;5;8;3;3;4;7;6;2;4;4;7;4;3;6;9;35;32;20;4;1;2;2
393;8;6;6;5;6;4;5;4;6;6;5;5;5;4;6;6;2;3;7;9;5;6;3;4;6;4;5;3;7;6;5;43;68;26;2;1;4;5
394;7;7;3;5;5;4;6;6;6;7;5;6;7;8;5;4;7;5;3;5;6;6;7;4;5;6;4;4;3;6;6;46;171;19;2;0;2;1
395;9;7;3;6;3;4;7;8;6;6;6;2;7;6;3;4;7;4;5;7;6;6;4;5;6;7;6;7;5;7;6;56;236;20;2;1;3;2
396;6;3;6;3;3;5;5;5;4;5;2;5;5;7;1;4;4;6;4;4;6;2;6;7;4;4;7;5;5;4;3;32;32;10;0;0;3;3
397;1;1;4;1;6;4;4;3;3;7;2;3;5;5;5;3;4;7;5;3;5;1;4;9;4;3;9;4;3;1;2;23;29;7;0;0;1;5
398;9;4;7;6;7;4;8;5;6;6;7;6;6;3;9;5;3;4;9;5;3;5;1;7;9;5;4;7;5;2;7;50;77;21;0;0;4;5
399;9;5;7;5;7;4;6;4;6;6;5;6;4;5;7;7;2;4;6;6;4;5;4;4;8;4;6;6;6;9;6;43;61;24;3;1;3;3
400;5;5;3;3;4;6;4;4;3;4;5;4;6;7;3;5;5;6;4;2;6;5;9;5;3;6;7;4;5;5;4;31;45;18;2;1;2;2
